Ayah Title,recitation_no,chapter_number,Ayahid,Ayah_number,assudais
,42,1,1,1,public://quran_audio/assudais/001001.mp3
,42,1,2,2,public://quran_audio/assudais/001002.mp3
,42,1,3,3,public://quran_audio/assudais/001003.mp3
,42,1,4,4,public://quran_audio/assudais/001004.mp3
,42,1,5,5,public://quran_audio/assudais/001005.mp3
,42,1,6,6,public://quran_audio/assudais/001006.mp3
,42,1,7,7,public://quran_audio/assudais/001007.mp3
,42,2,8,1,public://quran_audio/assudais/002001.mp3
,42,2,9,2,public://quran_audio/assudais/002002.mp3
,42,2,10,3,public://quran_audio/assudais/002003.mp3
,42,2,11,4,public://quran_audio/assudais/002004.mp3
,42,2,12,5,public://quran_audio/assudais/002005.mp3
,42,2,13,6,public://quran_audio/assudais/002006.mp3
,42,2,14,7,public://quran_audio/assudais/002007.mp3
,42,2,15,8,public://quran_audio/assudais/002008.mp3
,42,2,16,9,public://quran_audio/assudais/002009.mp3
,42,2,17,10,public://quran_audio/assudais/002010.mp3
,42,2,18,11,public://quran_audio/assudais/002011.mp3
,42,2,19,12,public://quran_audio/assudais/002012.mp3
,42,2,20,13,public://quran_audio/assudais/002013.mp3
,42,2,21,14,public://quran_audio/assudais/002014.mp3
,42,2,22,15,public://quran_audio/assudais/002015.mp3
,42,2,23,16,public://quran_audio/assudais/002016.mp3
,42,2,24,17,public://quran_audio/assudais/002017.mp3
,42,2,25,18,public://quran_audio/assudais/002018.mp3
,42,2,26,19,public://quran_audio/assudais/002019.mp3
,42,2,27,20,public://quran_audio/assudais/002020.mp3
,42,2,28,21,public://quran_audio/assudais/002021.mp3
,42,2,29,22,public://quran_audio/assudais/002022.mp3
,42,2,30,23,public://quran_audio/assudais/002023.mp3
,42,2,31,24,public://quran_audio/assudais/002024.mp3
,42,2,32,25,public://quran_audio/assudais/002025.mp3
,42,2,33,26,public://quran_audio/assudais/002026.mp3
,42,2,34,27,public://quran_audio/assudais/002027.mp3
,42,2,35,28,public://quran_audio/assudais/002028.mp3
,42,2,36,29,public://quran_audio/assudais/002029.mp3
,42,2,37,30,public://quran_audio/assudais/002030.mp3
,42,2,38,31,public://quran_audio/assudais/002031.mp3
,42,2,39,32,public://quran_audio/assudais/002032.mp3
,42,2,40,33,public://quran_audio/assudais/002033.mp3
,42,2,41,34,public://quran_audio/assudais/002034.mp3
,42,2,42,35,public://quran_audio/assudais/002035.mp3
,42,2,43,36,public://quran_audio/assudais/002036.mp3
,42,2,44,37,public://quran_audio/assudais/002037.mp3
,42,2,45,38,public://quran_audio/assudais/002038.mp3
,42,2,46,39,public://quran_audio/assudais/002039.mp3
,42,2,47,40,public://quran_audio/assudais/002040.mp3
