Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_arj
,27,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,«بسم الله الرحمن الرحيم»
,27,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,«الحمد لله» جملة خبرية قصد بها الثناء على الله بمضمونها من أنه تعالى: مالك لجميع الحمد من الخلق أو مستحق لأن يحمدوه، والله علم على المعبود بحق «ربِّ العالمين» أي مالك جميع الخلق من الإنس والجن والملائكة والدواب وغيرهم، وكل منها يُطلق عليه عالم، يقال عالم الإنس وعالم الجن إلى غير ذلك، وغلب في جمعه بالياء والنون أولي العلم على غيرهم، وهو من العلامة لأنه علامة على موجده.
,27,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,«الرحمن الرحيم» أي ذي الرحمة وهي إرادة الخير لأهله.
,27,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,أي الجزاء وهو يوم القيامة، وخص بالذكر لأنه لا ملك ظاهرًا فيه لأحد إلا الله تعالى بدليل «لمن الملك اليوم؟ لله» ومن قرأ مالك فمعناه الأمر كله في يوم القيامة أو هو موصوف بذلك دائمًا «كغافر الذنب» فصح وقوعه صفة لمعرفة.
,27,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,«إيَّاك نعبد وإياك نستعين» أي نخصك بالعبادة من توحيد وغيره ونطلب المعونة على العبادة وغيرها.
,27,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,«اهدنا الصراط المستقيم» أي أرشدنا إليه، ويبدَل منه:
,27,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,«صراط الَّذين أنعمت عليهم» بالهداية ويبدل من الذين بصلته «غير المغضوب عليهم» وهم اليهود «ولا» وغير «الضالِّين» وهم النصارى ونكتة البدل إفادة أن المهتدين ليسوا يهوداً ولا نصارى. والله أعلم بالصواب، وإليه المرجع والمآب، وصلى الله على سيدنا محمد وعلى اَله وصحبه وسلم تسليما كثيراً دائما أبداً، وحسبنا الله ونعم الوكيل، ولا حول ولا قوة إلا بالله العلي العظيم.
,27,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,«الم» الله أعلم بمراده بذلك.
,27,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,«ذلك» أي هذا «الكتاب» الذي يقرؤه محمد «لا ريب» لا شك «فيه» أنه من عند الله وجملة النفي خبر مبتدؤه ذلك والإشارة به للتعظيم «هدىً» خبر ثان أي هاد «للمتقين» الصائرين إلى التقوى بامتثال الأوامر واجتناب النواهي لاتقائهم بذلك النار.
,27,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,«الذين يؤمنون» يصدِّقون «بالغيب» بما غاب عنهم من البعث والجنة والنار «ويقيمون الصلاة» أي يأتون بها بحقوقها «ومما رزقناهم» أعطيناهم «ينفقون» في طاعة الله.
,27,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,«والذين يؤمنون بما أنزل إليك» أي القراَن «وما أنزل من قبلك» أي التوراة والإنجيل وغيرهما «وبالآخرة هم يوقنون» يعلمون.
,27,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,«أولئك» الموصوفون بما ذكر «على هدىّ من ربِّهم وأولئك هم المفلحون» الفائزون بالجنة الناجون من النار.
,27,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,«إن الذين كفروا» كأبي جهل وأبي لهب ونحوهما «سواء عليهم أأنذرتهم» بتحقيق الهمزتين وإبدال الثانية ألفاً وتسهيلها وإدخال ألف بين المسهلة والأخرى وتركه «أم لم تنذرهم لا يؤمنون» لعلم الله منهم ذلك فلا تطمع في إيمانهم، والإنذار إعلام مع تخويف.
,27,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,«ختم الله على قلوبهم» طبع عليها واستوثق فلا يدخلها خير «وعلى سمعهم» أي مواضعه فلا ينتفعون بما يسمعونه من الحق «وعلى أبصارهم غشاوة» غطاء فلا يبصرون الحق «ولهم عذاب عظيم» قوي دائم.
,27,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,ونزل في المنافقين: «ومن الناس من يقول آمنا بالله وباليوم الآخر» أي يوم القيامة لأنه آخر الأيام «وما هم بمؤمنين» روعي فيه معنى من، وفي ضمير يقول لفظها.
,27,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,«يخادعون الله والذين آمنوا» بإظهار خلاف ما أبطنوه من الكفر ليدفعوا عنهم أحكامه الدنيوية «وما يخدعون إلا أنفسهم» لأن وبال خداعهم راجع إليهم فيفتضحون في الدنيا بإطلاع الله نبيه على ما أبطنوه ويعاقبون في الآخرة «وما يشعرون» يعلمون أن خداعهم لأنفسهم، والمخادعة هنا من واحد كعاقبت اللص وذكر الله فيها تحسين، وفي قراءة وما يخدعون.
,27,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,«في قلوبهم مرض» شك ونفاق فهو يمرض قلوبهم أي يضعفها «فزادهم الله مرضاً» بما أنزله من القرآن لكفرهم به «ولهم عذاب أليم» مؤلم «بما كانوا يُكذّبوِن» بالتشديد أي: نبي الله، وبالتخفيف أي قولهم آمنا.
,27,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,«وإذا قيل لهم» أي لهؤلاء «لا تفسدوا في الأرض» بالكفر والتعويق عن الإيمان. «قالوا إنما نحن مصلحون» وليس ما نحن فيه بفساد. قال الله تعالى رداً عليهم.
,27,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,«ألا» للتنبيه «إنهم هم المفسدون ولكن لا يشعرون» بذلك.
,27,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,«وإذا قيل لهم آمنوا كما آمن الناس» أصحاب النبي «قالوا أنؤمن كما آمن السفهاء» الجهال أي لا نفعل كفعلهم. قال تعالى ردا َعليهم: «ألا إنهم هم السفهاء ولكن لا يعلمون» ذلك.
,27,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,«وإذا لقوا» أصله لقيوا حذفت الضمة للاستثقال ثم الياء لالتقائها ساكنة مع الواو «الذين آمنوا قالوا آمنا وإذا خلوا» منهم ورجعوا «إلى شياطينهم» رؤسائهم «قالوا إنا معكم» في الدين «إِنَّما نحن مستهزئون» بهم بإظهار الإيمان.
,27,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,«الله يستهزئ بهم» يجازيهم باستهزائهم «ويمدهم» يُمهلهم «في طغيانهم» بتجاوزهم الحد بالكفر «يعمهون» يترددون تحيراً حال.
,27,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,«أولئك الذين اشتروا الضلالة بالهدى» أي استبدلوها به «فما ربحت تجارتهم» أي ما ربحوا فيها بل خسروا لمصيرهم إلي النار المؤبدة عليهم «وما كانوا مهتدين» فيما فعلوا.
,27,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,«مثلهم» صفتهم في نفاقهم «كمثل الذي استوقد» أوقد «ناراً» في ظلمة «فلما أضاءت» أنارت «ما حوله» فأبصر واستدفأ وأمن مما يخافه «ذهب الله بنورهم» أطفأه وجُمع الضمير مراعاة لمعنى الذي «وتركهم في ظلمات لا يبصرون» ما حولهم متحيرين عن الطريق خائفين فكذلك هؤلاء أمِنوا بإظهار كلمة الإيمان فإذا ماتوا جاءهم الخوف والعذاب.
,27,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,هم «صمٌّ» عن الحق فلا يسمعونه سماع قبول «بكم» خرس عن الخير فلا يقولونه «عميٌ» عن طريق الهدى فلا يرونه «فهم لا يرجعون» عن الضلالة.
,27,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,«أو» مثلهم «كصيِّب» أي كأصحاب مطر وأصله صيوب من صاب يصوب أي ينزل «من السماء» السحاب «فيه» أي السحاب «ظلمات» متكاثفة «ورعد» هو الملك الموكَّل به وقيل صوته «وبرق» لمعان صوته الذي يزجره به «يجعلون» أي أصحاب الصيِّب «أصابعهم» أي أناملها «في آذانهم من» أجل «الصواعق» شدة صوت الرعد لئلا يسمعوها «حذر» خوف «الموت» من سماعها. كذلك هؤلاء: إذا نزل القرآن وفيه ذكر الكفر المشبه بالظلمات والوعيد عليه المشبه بالرعد والحجج البينة المشبهة بالبرق، يسدون آذانهم لئلا يسمعوه فيميلوا إلى الإيمان وترك دينهم وهو عندهم موت «والله محيط بالكافرين» علماً وقدرة فلا يفوتونه.
