Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_az
,26,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,"Mərhəmətli, rəhmli Allahın adı ilə!"
,26,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Həmd (şükür və tə’rif) olsun Allaha (və ya: Həmd məxsusdur Allaha) – aləmlərin Rəbbinə,"
,26,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,"(Bu dünyada hamıya) mərhəmətli, (axirətdə isə ancaq mö’minlərə) rəhmli olana,"
,26,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Haqq-Hesab (qiyamət) gününün sahibinə!
,26,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,Biz yalnız Sənə ibadət edirik və yalnız Səndən kömək diləyirik!
,26,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,Bizi doğru (düz) yola yönəlt!
,26,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,Ne’mət verdiyin kəslərin yoluna! Qəzəbə düçar olmuşların və (haqdan) azmışların (yoluna) yox!
,26,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,"Əlif, Lam, Mim."
,26,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Bu, (Allah tərəfindən nazil edilməsinə, haqdan gəlməsinə) heç bir şəkk-şübhə olmayan, müttəqilərə(Allahdan qorxanlara, pis əməllərdən çəkinənlərə) doğru yol göstərən Kitabdır."
,26,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"O kəslərki, qeybə (Allaha, mələklərə, qiyamətə, qəza və qədərə) inanır, (lazımınca) namaz qılır və onlara verdiyimiz ruzidən (ailələrinə, qohum-qonşularına və digər haqq sahiblərinə) sərf edirlər."
