Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_de
,25,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,"Bismil-lahir-rahmanir-rahim: Mit dem Namen ALLAHs, Des Allgnade Erweisenden, Des Allgnädigen, (rezitiere ich) ."
,25,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Alhamdulillah: Alles Lob gebührt ALLAH, Dem HERRN aller Geschöpfe,"
,25,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,"Dem Allgnade Erweisenden, Dem Allgnädigen,"
,25,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Dem Herrscher am Tage des Din .
,25,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,"Dir allein dienen wir, und Dich allein bitten wir um Hilfe!"
,25,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,"Leite uns recht auf den geradlinigen Weg,"
,25,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"den Weg derer, denen DU Wohlergehen hast zuteil werden lassen, die weder vom Zorn geplagt werden noch abgeirrt sind!"
,25,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,Alif-lam-mim .
,25,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Diese ist die eigentliche Schrift, keinerlei Zweifel ist darin, (sie ist) eine Rechtleitung für die Muttaqi ."
,25,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"Es sind diejenigen, die den Iman an das Verborgene verinnerlichen, das rituelle Gebet ordnungsgemäß verrichten und von dem, was WIR ihnen vom Rizq gewährten, geben,"
,25,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,"sowie diejenigen, die den Iman verinnerlichen an das, was dir hinabgesandt wurde, und an das, was vor dir hinabgesandt wurde, und die über das Jenseits Gewißheit haben."
,25,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,Diese verfügen über Rechtleitung von ihrem HERRN und diese sind die eigentlichen Erfolgreichen.
,25,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"Gewiß, diejenigen, die (beharrlich) Kufr betrieben haben - gleich ist es für sie, ob du sie warnst oder nicht warnst, sie verinnerlichen den Iman nicht."
,25,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,"ALLAH versiegelte ihre Herzen und ihr Gehör, und über ihren Augen ist eine (Sicht-) Blende. Und für sie ist überharte Peinigung bestimmt."
,25,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"Und unter den Menschen sind manche, die sagen: ""Wir haben den Iman an ALLAH und an den Jüngsten Tag verinnerlicht."" Doch sie sind keine Mumin."
,25,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Täuschen wollen sie ALLAH und diejenigen, die den Iman verinnerlicht haben. Doch sie täuschen niemanden außer sich selbst, nur sie merken es nicht."
,25,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"In ihren Herzen ist Krankheit , so mehrte ALLAH sie mit Krankheit, und für sie ist qualvolle Peinigung bestimmt für das, was sie zu lügen pflegten."
,25,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,"Und als ihnen gesagt wurde: ""Richtet kein Verderben an auf Erden!"", sagten sie: ""Wir sind doch nur gottgefällig Guttuende."""
,25,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Aber sicher, sie sind die Verderben-Anrichtenden, doch sie merken es nicht."
,25,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Und als ihnen gesagt wurde: ""Verinnerlicht den  Iman, wie die (anderen) Menschen den Iman verinnerlicht haben"", sagten sie: ""Sollen wir etwa den Iman verinnerlichen, wie die Beschränkten den Iman verinnerlicht haben?"" Jedenfalls sind sie die Beschränkten, doch sie wissen es nicht."
,25,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Und als sie denjenigen begegnet sind, die den Iman verinnerlicht haben, sagten sie: ""Wir haben den Iman verinnerlicht."" Jedoch als sie sich alleine unter ihren Satanen befanden, sagten sie: ""Wir sind mit euch, wir sind lediglich Spötter!"""
,25,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,ALLAH vergilt ihnen ihren Spott und läßt sie in ihrer Maßlosigkeit bestärken - sie bleiben verblendet.
,25,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"Diese sind diejenigen, die das Abirren gegen die Rechtleitung eintauschten, so war weder ihr Handel gewinnbringend, noch waren sie rechtgeleitet."
,25,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Ihr Gleichnis ähnelt dem Gleichnis desjenigen, der Feuer anzumachen suchte, und nachdem es seine Umgebung erhellt hatte, nahm ALLAH ihnen ihr Licht weg und ließ sie in Finsternissen zurück - sie können nicht sehen."
,25,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Sie sind taub, stumm und blind, so kehren sie nicht um."
,25,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Oder (sie ähneln manchen unter) einem Wolkenbruch aus dem Himmel, welcher von Finsternissen, Donner und Blitz begleitet wird. Sie stecken ihre Finger in ihre Ohren wegen der Donnerschläge aus Angst vor dem Tod  doch ALLAH ist umgebend den Kafir gegenüber."
