Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_nl
,6,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,In naam van den lankmoedigen en albarmhartigen God.
,6,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Lof aan God, meester des heelals."
,6,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,"Den lankmoedige, den albarmhartige."
,6,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Rechter op den dag des gerichts.
,6,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,"U bidden wij aan, Uwe hulp roepen wij in."
,6,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,Voer ons langs den rechten weg.
,6,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"Langs den weg dergenen, die zich in Uwe weldaden verheugen. Niet langs den weg dergenen, die Uwen toorn hebben opgewekt, en niet op dien der dwalenden."
,6,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,A. L. M.
,6,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Dit is het boek, waaromtrent geen twijfel bestaat; de richtsnoer van de godvreezenden,"
,6,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"Van hen, die de mysteriën gelooven, het gebed nauwlettend doen, en weldaden verspreiden van de bezittingen, die wij hun verleenen."
