Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_ru
,7,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,"﻿Во имя Аллаха, Милостивого, Милосердного!"
,7,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Хвала Аллаху, Господу миров,"
,7,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,"Милостивому, Милосердному,"
,7,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Властелину Дня воздаяния!
,7,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,Тебе одному мы поклоняемся и Тебя одного молим о помощи.
,7,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,"Веди нас прямым путем,"
,7,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"путем тех, кого Ты облагодетельствовал, не тех, на кого пал гнев, и не заблудших."
,7,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,Алиф. Лам. Мим.
,7,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Это Писание, в котором нет сомнения, является верным руководством для богобоязненных,"
,7,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"которые веруют в сокровенное, совершают намаз и расходуют из того, чем Мы их наделили,"
,7,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,которые веруют в ниспосланное тебе и ниспосланное до тебя и убеждены в Последней жизни.
,7,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,"Они следуют верному руководству от их Господа, и они являются преуспевшими."
,7,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"Воистину, неверующим безразлично, предостерег ты их или не предостерег. Они все равно не уверуют."
,7,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,"Аллах запечатал их сердца и слух, а на глазах у них - покрывало. Им уготованы великие мучения."
,7,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"Среди людей есть такие, которые говорят: ""Мы уверовали в Аллаха и в Последний день"". Однако они суть неверующие."
,7,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Они пытаются обмануть Аллаха и верующих, но обманывают только самих себя и не осознают этого."
,7,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Их сердца поражены недугом. Да усилит Аллах их недуг! Им уготованы мучительные страдания за то, что они лгали."
,7,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,"Когда им говорят: ""Не распространяйте нечестия на земле!"" - они отвечают: ""Только мы и устанавливаем порядок""."
,7,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Воистину, именно они распространяют нечестие, но они не осознают этого."
,7,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Когда им говорят: ""Уверуйте так, как уверовали люди"", - они отвечают: ""Неужели мы уверуем так, как уверовали глупцы?"" Воистину, именно они являются глупцами, но они не знают этого."
,7,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Когда они встречают верующих, то говорят: ""Мы уверовали"". Когда же они остаются наедине со своими дьяволами, они говорят: ""Воистину, мы - с вами. Мы лишь издеваемся""."
,7,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,"Аллах поиздевается над ними и увеличит их беззаконие, в котором они скитаются вслепую."
,7,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"Они - те, которые купили заблуждение за верное руководство. Но сделка не принесла им прибыли, и они не последовали прямым путем."
