Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_so,content_ar,sura name,meaning,sura images,ayah_image
Ayah 1so,4,1,1,1,Magaca Eebe yaan kubillaabaynaa ee Naxariis guud iyo mid gaaraba Naxariista.,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png
Ayah 2so,4,1,2,2,Mahad Eebaa iska leh ee barbaariyaha Caalamka ah (Koonka).,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png
Ayah 3so,4,1,3,3,Ee naxariis guud iyo mid gaaraba naxariista.,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png
Ayah 4so,4,1,4,4,Ee hanta maalinta abaalmarinta (Qiyaamada).,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png
Ayah 5so,4,1,5,5,"adiga unbaan ku caabudaynaa, adiga unbaana kaa kaalmo waydiisanaynaa (Eebow).",إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png
Ayah 6so,4,1,6,6,ee nagu hanuuni jidka toosan (Xaqa).,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png
Ayah 7so,4,1,7,7,Jidka kuwii aad unicmaysay eedan u cadhoonin dhuminna.,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png
Ayah 8so,4,2,8,1,"Aad baa Macnaheeda looga hadlay, waxaana la sheegay inay magaca suuradda tahay, ama ay ku tusin Muejisadda Quraanka, Eebe unbaa waa la dhahaa.",بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png
Ayah 9so,4,2,9,2,Kitaabkaas (Quraanka) shaki kuma jiro Hanuunbaana ugu sugan kuwa dhawrsada.,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png
Ayah 10so,4,2,10,3,"ee ah kuwa rumeeya waxan la arkayn (ee xaq ah) oogana Salaadda, waxaan ku arzaaqnayna wax ka bixiya.",الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png
Ayah 11so,4,2,11,4,"ee ah kuwa rumeeya waxa lagugu dajiyey Nabiyow, iyo wixii la dajiyey horay, Aakhirana yaqiinin.",وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png
Ayah 12so,4,2,12,5,"kuwaasi hanuun Eebe yey ku suganyihiin, kuwaasina waa uun kuwa liibaanay.",أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png
