Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_sq
,17,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,"Me emër të Allahut, Mëshirues dhe Përdëllimtar i Madh."
,17,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Çdo lavdërim i përket Allahut (Perëndisë), Zotit të Gjithësisë"
,17,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,Mëshirues dhe Përdëllimtar i Madh.
,17,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Sunduesit të ditës së gjukimit.
,17,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,Vetëm Ty të adhurojmë dhe vetëm prej Teje ndihmë kërkojmë!
,17,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,Udhëzona në rrugë të drejtë.
,17,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"Në rrugën e atyre që u ke dhuruar mirësi. E jo në (rrugën) e atyre që kanë shkaktuar pezmin (Tënd), as në rrugën e atyre që janë të humbur!"
,17,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,"Elif, Lam, Mim."
,17,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Ky libër, është i padyshimtë, udhëzues për të gjithë ata që i druajnë dënimit të Perëndisë."
,17,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,të cilët u besojnë gjërave të padukshme (në bazë të argumenteve mendore) dhe bëjnë namaz dhe japin nga ajo që Ju kemi dhënë;
,17,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,të cilët besojnë që të ka zbritur Ty (Kur’ani) dhe atyre para Teje (pejgamberëve tjerë) dhe që padyshim i besojnë jetës tjetër.
,17,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,"Ata janë, me të vërtetë, në rrugën e Zotit dhe vetëm ata janë të shpëtuar."
,17,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"Me të vërtetë, për ata që janë (këmbëngulës) në mohim, është njësoj si i paralajmërove ti apo nuk i paralajmërove – ata nuk besojnë."
,17,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,"Perëndia ua ka vulosur atyre zemrat dhe veshët dhe në sy kanë perde, dhe ata i pret denimi i madh."
,17,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"Ka disa njerëz që thonë: “Besojmë në Perëndinë dhe jetën tjetër!” – por, ata nuk janë besimtarë."
,17,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Ata përpiqen të mashtrojnë Perëndinë dhe ata që besojnë, por vetëm mashtrojnë veten, e ketë nuk e vërejnë."
,17,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Zemrat e tyre janë të sëmura (me injorancë) e Perëndia ua shtoi atyre sëmundjen; ata i pret dënim i ashpër, për shkak se gënjejnë."
,17,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,Kur t’u thuhet: “mos bëni çrregullime në Botë!” ata thonë: “Na vetëm zbatojmë rregullat në Botë!”
,17,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Ah! Me të vërtetë, ata shkaktojnë çrregullime, por nuk i vërejnë."
,17,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Kur t’u thuhet atyre: “Besoni edhe ju ashtu siç kanë besuar njerëzit (e ndershëm)” – ata (jobesimtarët) thonë: “Vallë! Si të besojmë ne ashtu siç kanë besuar njerëzit mendjelehtë?” – Ah! Me të vërtetë, ata janë mendjelehtë, por ata nuk e dinë këtë."
,17,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Kur të takohen me ata që besojnë, thonë: “Besojmë!” – por kur të ngelin vetëm me djajtë e tyre (me njerëzit e këqinj) thonë: “Na vetëm bëjmë sahaka, na jemi me ju”."
,17,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,Perëndia tallet me ta; Ai do t’i lë një kohë të gjatë që të bredhin andej-këndej në mohimin e tyre.
,17,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"Ata janë prej atyre që kanë blerë (zgjedhur) rrugën e gabuar, në vend të së vërtetës. Tregtia atyre nuk u solli kurrfarë dobie, dhe as nuk janë orientuar në rrugë të drejtë."
,17,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Ata (që janë zhytur në të këqia e bredhin andej-këndej) janë të ngjashëm me ata që ndezin zjarrin, i cili kur ta ndriçojë rrethin e tyre, Perëndia ua merr dritën, i le në errësirë dhe ata nuk shohin asgjë!"
,17,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Ata janë të shurdhër, memecë, e të verbër; prandaj nuk kthehen (nga e keqja në të mirë)."
,17,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Ose ata i gjasojnë atyre, të cilët gjatë kohës së shiut të stuhishëm (shtrëngatës) nga qielli, me errësirë, bubullimë dhe shkreptimë, nga frika e vdekjes – për të mos dëgjuar ushëtimën me gishtërinjtë mbyllin veshët, por Perëndia i ka rrethuar (qafirat) me fuqi (e s’kanë shpëtim)."
,17,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"Shkrepëtima, pothuaj, ua merrë të pamurit atyre; sa herë që ajo ua ndriçon rrugën, ata ecin, e kur i kaplon errësira, ndalen. E sikur të dojë Perëndia, do t’ua merrte të dëgjuarit edhe të pamurit, se, me të vërtetë, Perëndia është i Plotëfuqishëm."
,17,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"O njerëz! Aduroni Perëndinë, i cili u ka krijuar juve dhe ata para jush, për t’u ruajtur nga mohimi."
,17,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"Zoti është Ai, që për ju tokën e ka bërë shtresë dhe qiellin ndërtesë; i cili prej qielli lëshon shira dhe bënë që me atë të rritën frutet, ushqimi juaj. Prandaj mos i bëni shoq Perëndisë, sepse ju e dini (që Ai nuk ka shoq)."
,17,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Nëse dushoni ju në atë (Kur’anin) që ia kemi dërguar robit tonë (Muhammedit), atëherë hartonie një sure të ngjashme si atë që ia kemi shpallur atij, dhe nëse jeni të drejtë thirrni dëshmitarët tuaj, (zotërat që i adhuroni), përveç Perëndisë."
,17,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,"Nëse nuk mundeni, dhe kurrsesi nuk do të mundeni (me i bë shembull Kur’anit), atëherë ruajuni zjarrit, lëndë djegëse e të cilit janë njerëzit dhe gurët. Ai është përgatitur t’i ndëshkojë mohuesit."
,17,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"Ata që besojnë dhe bëjnë vepra të mira gëzoji me kopshte të xhenetit nëpër të cilat do të kalojnë lumenj çdoherë kur u jepet atyre ndonjë frut i tyre, ata të thonë: “Këtë e kemi ngrënë edhe përpara”, - e atyre do t’u jepen vetëm fruta të ngjashme me to. Në to do të ketë femra të pastra dhe në to do të jetojnë gjithmonë."
,17,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Allahu nuk ngurron të jep shembullin e mushkajës ose diçka më të madhe se atë, ata që besojnë e dinë që kjo është e vërtetë nga Perëndia e tyre, e ata që nuk besojnë thonë:“-Çka don të tregojë Allahu me këtë shembull. Në këtë mënyrë Ai shumëkend e ka hutuar e shumëkujt ia ka treguar rrugën e vërtetë. Ai i la të humbur vetëm mëkatarët e mëdhenj”,"
,17,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"të cilët shkelën obligimin e Allahut pasi e patën marrë dhe e ndërprenë atë që i ka urdhëruar Perëndia për ta mbajtur, e bëjnë ngatërresa në Tokë; ata janë të shkatërruar."
,17,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Si mund të mos e besoni Allahun, ju që s’keni qenë e Ai ju ka dhënë jetën; Ai pastaj do t’ju bëjë të vdekur e pastaj do t’ju ngjallë, e në fund do të ktheheni tek Ai."
,17,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"Ai për ju ka krijuar çdo gjë që ka në Tokë; Pastaj vullnetin e vet e ka drejtuar kah qielli dhe e ka rregulluar si shtatë qiejë, Ai di çdo gjë."
,17,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,Kur Zoti yt u tha engjujve: “Unë do të caktojë përfaqësuesin në tokë” – Ata thanë: “A do të jetë përfaqësuesi yt ai që në të do të bëjë çrregullime e do të derdhë gjak? Na të madhërojmë e të lavdërojmë dhe të ngrisim ashtu si të takon Ty”. Ai tha: Unë di atë që ju nuk dini.
,17,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"Allahu ia mësoi Ademit të gjithë emrat e pastaj ata ua paraqiti engjujve dhe u tha: “Nëse e keni thënë të vërtetën, m’i tregoni emrat e këtyre sendeve”."
,17,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,“Qofsh i lavdëruar!” – thanë ata – “ne dimë vetëm atë që na ke mësuar Ti. Ti je mendjemprehtë dhe i gjithëdijshëm”.
