Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_sw
,29,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,KWA JINA LA MWENYEZI MUNGU MWINGI WA REHEMA MWENYE KUREHEMU.
,29,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Sifa njema zote ni za Mwenyezi Mungu, Mola Mlezi wa viumbe vyote;"
,29,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,Mwingi wa Rehema Mwenye Kurehemu;
,29,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Mwenye Kumiliki Siku ya Malipo.
,29,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,"Wewe tu tunakuabudu, na Wewe tu tunakuomba msaada."
,29,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,"Tuongoe njia iliyo nyooka,"
,29,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"Njia ya ulio waneemesha, siyo ya walio kasirikiwa, wala walio potea."
,29,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,Alif Lam Mim.
,29,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Hiki ni Kitabu kisichokuwa na shaka ndani yake; ni uwongofu kwa wachamungu,"
,29,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"Ambao huyaamini ya ghaibu na hushika Sala, na hutoa katika tuliyo wapa."
,29,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,"Na ambao wanayaamini yaliyo teremshwa kwako, na yaliyo teremshwa kabla yako; na Akhera wana yakini nayo."
,29,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,"Hao wapo juu ya uwongofu utokao kwa Mola wao Mlezi, na hao ndio walio fanikiwa."
,29,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"Hakika wale walio kufuru ni sawa kwao ukiwaonya au usiwaonye, hawaamini."
,29,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,"Mwenyezi Mungu amepiga muhuri juu ya nyoyo zao na juu ya masikio yao, na juu ya macho yao pana kifuniko. Basi watapata adhabu kubwa."
,29,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,"Na katika watu, wako wasemao: Tumemwamini Mwenyezi Mungu na Siku ya Mwisho, wala wao si wenye kuamini."
,29,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Wanatafuta kumdanganya Mwenyezi Mungu na wale walio amini, lakini hawadanganyi ila nafsi zao; nao hawatambui."
,29,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Nyoyoni mwao mna maradhi, na Mwenyezi Mungu amewazidishia maradhi. Basi watakuwa na adhabu chungu kwa sababu ya kusema kwao uwongo."
,29,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,Na wanapo ambiwa: Msifanye uharibifu ulimwenguni. Husema: Bali sisi ni watengenezaji.
,29,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Hakika wao ndio waharibifu, lakini hawatambui."
,29,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Na wanapo ambiwa: Aminini kama walivyo amini watu. Husema: Tuamini kama walivyo amini wapumbavu? Hakika wao ndio wapumbavu, lakini hawajui tu."
,29,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,Na wanapo kutana na walio amini husema: Tumeamini. Na wanapo kuwa peke yao na mashet'ani wao husema: Hakika sisi tu pamoja nanyi. Hakika sisi tunawadhihaki tu.
,29,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,Mwenyezi Mungu atawadhihaki wao na atawawacha katika upotofu wao wakitangatanga ovyo.
,29,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"Hao ndio walio nunua upotofu kwa uwongofu; lakini biashara yao haikupata tija, wala hawakuwa wenye kuongoka."
,29,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Mfano wao ni kama mfano wa aliye koka moto, na ulipo tanda mwangaza wake kote kote Mwenyezi Mungu aliiondoa nuru yao na akawawacha katika giza, hawaoni."
,29,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Viziwi, mabubu, vipofu; kwa hivyo hawatarejea."
,29,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Au ni kama mvua kubwa itokayo mbinguni, ina giza na radi na umeme; wakawa wakitia vidole vyao masikioni mwao kwa ajili ya mingurumo, kwa kuogopa kufa. Na Mwenyezi Mungu amewazunguka makafiri."
,29,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"Unakaribia umeme kunyakua macho yao. Kila ukiwatolea mwangaza huenda, na unapo wafanyia giza husimama. Na angelitaka Mwenyezi Mungu angeliondoa kusikia kwao na kuona kwao. Hakika Mwenyezi Mungu ni Muweza wa kila kitu."
,29,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"Enyi watu! Muabuduni Mola wenu Mlezi aliye kuumbeni nyinyi na wale wa kabla yenu, ili mpate kuokoka."
,29,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"(Mwenyezi Mungu) ambaye amekufanyieni hii ardhi kuwa kama tandiko, na mbingu kama paa, na akateremsha maji kutoka mbinguni, na kwayo akatoa matunda yawe riziki zenu. Basi msimfanyizie Mwenyezi Mungu washirika, na hali nyinyi mnajua."
,29,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Na ikiwa mna shaka kwa hayo tuliyo mteremshia mja wetu basi leteni sura moja ya mfano wake, na muwaite mashahidi wenu badala ya Mwenyezi Mungu, ikiwa mnasema kweli."
,29,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,Na mkitofanya - na wala hamtofanya kamwe - basi uogopeni moto ambao kuni zake ni watu na mawe walio andaliwa hao wanao kanusha.
,29,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"Na wabashirie walio amini na wakatenda mema kwamba watapata mabustani yapitayo mito kati yake; kila watapo pewa matunda humo, watasema: Haya ndiyo kama tuliyo pewa mbele. Na wataletewa matunda yaliyo fanana; na humo watakuwa na wake walio takasika; na wao humo watadumu."
,29,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Hakika Mwenyezi Mungu haoni haya kutoa mfano hata wa mbu na ulio wa zaidi yake. Ama wale walio amini hujua ya kwamba hiyo ni haki iliyo toka kwa Mola wao Mlezi, lakini wale walio kufuru husema: Ni nini analo kusudia Mwenyezi Mungu kwa mfano huu? Kwa mfano huu huwapoteza wengi na huwaongoa wengi; lakini hawapotezi ila wale wapotovu,"
,29,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"Wanao vunja ahadi ya Mwenyezi Mungu baada ya kwisha ifunga, na wakayakata aliyo amrisha Mwenyezi Mungu kuungwa, na wakafanya uharibifu katika nchi; hao ndio wenye khasara."
,29,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Vipi mnamkanusha Mwenyezi Mungu na hali mlikuwa wafu akakufufueni! Kisha atakufisheni, tena atakufufueni, kisha kwake mtarejeshwa?."
,29,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"Yeye ndiye aliye kuumbieni vyote vilivyomo katika ardhi. Tena akazielekea mbingu, na akazifanya mbingu saba. Naye ndiye Mjuzi wa kila kitu."
,29,2,37,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_30.png,"Na pale Mola wako Mlezi alipo waambia Malaika: Mimi nitamweka katika ardhi Khalifa (mfwatizi), wakasema: Utaweka humo atakaye fanya uharibifu humo na kumwaga damu, hali sisi tunakutakasa kwa sifa zako na tunakutaja kwa utakatifu wako? Akasema: Hakika Mimi nayajua msiyo yajua."
,29,2,38,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_31.png,"Na akamfundisha Adam majina ya vitu vyote, kisha akaviweka mbele ya Malaika, na akasema: Niambieni majina ya hivi ikiwa mnasema kweli."
,29,2,39,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_32.png,"Wakasema: Subhanaka, Wewe umetakasika! Hatuna ujuzi isipokuwa kwa uliyo tufunza Wewe. Hakika Wewe ndiye Mjuzi Mwenye hikima."
,29,2,40,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_33.png,"Akasema: Ewe Adam! Waambie majina yake. Basi alipo waambia majina yake alisema: Sikukwambieni kwamba Mimi ninajua siri za mbinguni na za duniani, na ninayajua mnayo yadhihirisha na mliyo kuwa mnayaficha?"
,29,2,41,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_34.png,"Na tulipo waambia Malaika: Msujudieni Adam, wakamsujudia wote isipo kuwa Iblis, alikataa na akajivuna na akawa katika makafiri."
,29,2,42,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_35.png,"Na tulisema: Ewe Adam! Kaa wewe na mkeo katika Bustani, na kuleni humo maridhawa popote mpendapo, lakini msiukaribie mti huu tu; mkawa katika wale walio dhulumu."
,29,2,43,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_36.png,"Lakini Shet'ani aliwatelezesha hao wawili na akawatoa katika waliyo kuwamo, na tukasema: Shukeni, nanyi ni maadui nyinyi kwa nyinyi. Katika ardhi yatakuwa makaazi yenu na starehe kwa muda."
,29,2,44,37,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_37.png,"Kisha Adam akapokea maneno kwa Mola wake Mlezi, na Mola wake Mlezi alimkubalia toba yake; hakika Yeye ndiye Mwingi wa kukubali toba na Mwenye kurehemu."
,29,2,45,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_38.png,"Tukasema: Shukeni nyote; na kama ukikufikieni uwongofu utokao kwangu, basi watakao fuata uwongofu wangu huo haitakuwa khofu juu yao wala hawatahuzunika."
