Ayah Title,Tafseer_no,chapter_number,Ayahid,Ayah_number,content_ar,sura name,meaning,sura images,ayah_image,content_tg
,15,1,1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_1.png,Ба номи Худованди бахшояндаи меҳрубон!
,15,1,2,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_2.png,"Ситоиш Худоро, ки Парвардигори ҷаҳониён аст."
,15,1,3,3,الرَّحْمَٰنِ الرَّحِيمِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_3.png,"Бахшояндаи меҳрубон,"
,15,1,4,4,مَالِكِ يَوْمِ الدِّينِ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_4.png,Фармонравои рӯзи ҷазо.
,15,1,5,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_5.png,Танҳо Туро мепарастем ва танҳо аз Ту ёри меҷӯем.
,15,1,6,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_6.png,Моро ба роҳи рост ҳидоят кун:
,15,1,7,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,Al-Fatiha--الفاتحة,The Opening,public://sura_images/1.png,public://quran_images/1_7.png,"роҳи касоне, ки онҳоро неъмат додаи, на хашмгирифтагонӣ бар онҳо ва на гумроҳон."
,15,2,8,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_1.png,Алиф. Лом. Мим
,15,2,9,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_2.png,"Ин аст ҳамон китобе, ки дар он ҳеҷ шакке нест. Парҳезгоронро роҳнамост:"
,15,2,10,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_3.png,"«онон, ки ба ғайб имон меоваранд ва намоз мегузоранд ва аз он чи рӯзияшон додаем, инфоқ (харҷ) мекунанд»."
,15,2,11,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_4.png,"ва онон, ки ба он чи бар ту ва бар паёмбарони пеш аз ту нозил шудааст, имон меоваранд ва ба охират яқин доранд."
,15,2,12,5,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_5.png,Эшон аз сӯи Парвардигорашон қарини ҳидоятанд ва худ наҷот ёфтагонанд.
,15,2,13,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_6.png,"Кофиронро Хоҳ битарсони ё натарсони, фарқашон накунад, имон намеоваранд."
,15,2,14,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_7.png,Худо бар дилҳояшон ва бар гушашон муҳр ниҳода ва бар рӯи чашмонашон пардаест ва барояшон азобест бузург.
,15,2,15,8,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_8.png,Баъзе аз мардум мегӯянд: «Ба Худо ва рӯзи қиёмат имон овардаем». Ҳолл он ки имон наовардаанд.
,15,2,16,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_9.png,"Инон Худову мӯъминонро мефиребанд ва намедонанд, ки танҳо худро фиреб медиҳанд."
,15,2,17,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_10.png,"Дар дилҳояшон маразест ва Худо низ бар маразашон бияфзудааст ва ба ҷазои дуруғе, ки гуфтаанд, барояшон азобест дардовар."
,15,2,18,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_11.png,"Чун ба онҳо гуфта шавад, ки дар замин фасод накунед, мегӯянд: «Мо муслеҳонем» (некӯкоронем)."
,15,2,19,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_12.png,"Огоҳ бошед, ки инҳо худ фасодкоронанду намедонанд."
,15,2,20,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_13.png,"Ва чун ба онон гуфта шавад, ки шумо низ ҳамонанди дигар мардумон имон биёваред, мегӯянд: «Оё мо низ ҳамонанди бехирадон имон биёварем?» Огоҳ бошед, ки онон худ бехирадонанду намедонанд."
,15,2,21,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_14.png,"Ва чун ба мӯъминон мерасанд, мегӯянд: «Имон овардем». Ва чун бо шайтонҳои хеш хилват мекунанд, мегӯянд: «Мо бо шумо ҳастем, мо масқараашон мекунем»."
,15,2,22,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_15.png,Худост ки онҳоро масхара мекунад ва онҳоро вомегузорад то ҳамчунон дар туғёни хеш саргардон бимонанд.
,15,2,23,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_16.png,"Инҳо гумроҳиро ба ҳидоят хариданд, пас тоҷираташон суд накард ва дар шумори ҳидоятёфтагон дарнаёмадаанд."
,15,2,24,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_17.png,"Мисолашон мисли он касест, ки оташе афрӯхт, чун атрофашро равшан сохт, Худо рӯшнои аз онон бозгирифт ва нобино дар торики раҳояшон кард."
,15,2,25,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_18.png,"Каронанд, гунгонанд ва бознамегарданд!"
,15,2,26,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_19.png,"Ё чун бороне сахт дар зулмат ҳамроҳ бо раъду барқ аз осмон фуруд ояд, то мабод, ки аз бонги раъд бимиранд, ангуштони хеш дар гушҳо кунанд. Ва Худо бар кофирон иҳота дорад. (бо илми худ)."
,15,2,27,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_20.png,"Наздик бошад, ки барқ дидагонашонро нобино созад. Хар гоҳ равшан шавад, чанд қадаме бармедоранд ва чун хомуш шавад, аз рафтан бозистанд. Агар Худо мехост, гушҳояшонро кару чашмонашонро кур месохт, ки ӯ ба ҳар коре тавоност!"
,15,2,28,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_21.png,"Эй мардум, Парвардигоратонро, ки шумо ва пешиниёнатонро биёфаридааст, бипарастед. Бошад ки парҳезгор шавед!"
,15,2,29,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_22.png,"Он Худованде, ки заминро чун гилеме бигустурд ва осмонро чун биное бияфрохт ва аз осмон обе фиристод ва бо он об барои рӯзии шумо аз замин ҳар гуна самарае бируёнид ва худ медонед, ки набояд барои Худо шариконе қарор диҳед!"
,15,2,30,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_23.png,"Ва агар дар он чӣ бар бандаи хеш нозил кардаем дар шак ҳастед, сурае ҳамонанди он биёваред ва ғайра Худо ҳамаи ҳозиронатонро фаро хонед агар рост мегӯед."
,15,2,31,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_24.png,"Ва ҳар гоҳ чунин накардаед, ки ҳаргиз натавонед кард, пас битарсед аз оташе, ки барои кофирон муҳайё шуда ҳезуми он мардумон ва сангҳо ҳастанд."
,15,2,32,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_25.png,"Ба онон, ки имон овардаанд ва корҳои шоиста кардаанд, мужда деҳ, ки барояшон биҳиштҳоест, ки дар он наҳрҳо ҷорист. Ва ҳар гоҳ, ки аз меваҳои он бархурдор шаванд, гӯянд: «Пеш аз ин дар дунё аз чунин меваҳое бархурдор шуда будем, ки ин меваҳо монанд ба якдигаранд». Ва низ дар он ҷо ҳамсароне покиза доранд ва дар он ҷо ҷовидона бошанд."
,15,2,33,26,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_26.png,"Худо ибое надорад, ки ба пашша ва камтар аз он мисол биёрад. Онон, ки имон овардаанд, медонанд, ки он мисол дуруст ва аз ҷониби Парвардигори онҳост. Ва аммо кофирон мегӯянд, ки Худо аз ин мисол чи мехостааст? Бисёреро ба он гумроҳ мекунад ва бисёреро ҳидоят. Аммо танҳо фосиқонро гумроҳ мекунад."
,15,2,34,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_27.png,"Касоне, ки паймони Худоро пас аз бастани он мешикананд ва он чиро, ки Худо ба пайвастани он фармон дода, мебуранд ва дар замин фасод мекунанд зиёнкоронанд."
,15,2,35,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_28.png,"Чӣ гуна Худоро инкор мекунед, дар ҳоле ки мурда будед ва ӯ шуморо зинда сохт, боз мемиронад ва зинда мекунад ва он гоҳ ба назди Ӯ бозмегардед."
,15,2,36,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,Al-Baqara--البقرة,The Cow,public://sura_images/2.png,public://quran_images/2_29.png,"Ӯст, ки ҳамаи чизҳоеро, ки дар рӯи замин аст, бароятон биёфарид, он гоҳ ба осмон пардохт ва ҳар ҳафт осмонро барафрошт ва Ӯ аз ҳар чизе огоҳ аст!"
